37.718806,-122.50437,beach,Best Beach Furever
37.599196,-122.502011,beach,Hawtest Beach for Paws
37.769446,-122.486296,park,Pawfect Park for Pups
37.719771,-122.419045,park,Park fur Ruff Dogs Only
37.765481,-122.438082,park,Fureshest Park
37.791285,-122.43169,park,Colliefornian Park
37.75917,-122.426903,park,Puparazzi-Free Park Please
37.749682,-122.444865,park,A Pawsome Park fur All
37.786943,-122.15176,trail,Trail to Walk with Fur-ends
37.78459,-122.408615,trail,Pawsomest Trail of All
37.785328,-122.507618,trail,Pawsibly the Best Trail Ever